Concepto,2022 |  Anual R,2023 |  Anual R
"3391 - Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",99483.646,110093.931
3399 - Otras industrias manufactureras,82257.226,82774.6
Actividades terciarias,17164895.214,18368947.112
43 - Comercio al por mayor,2894584.091,2938093.551
46 - Comercio al por menor,2886773.269,2997841.817
"48-49 - Transportes, correos y almacenamiento",2100178.843,2306679.274
481 - Transporte aéreo,101881.192,124573.411
482 - Transporte por ferrocarril,42326.874,45438.863
483 - Transporte por agua,20125.514,20294.538
484 - Autotransporte de carga,1094121.097,1201196.855
"485 - Transporte terrestre de pasajeros, excepto por ferrocarril",508228.317,561632.363
486 - Transporte por ductos,19267.05,20378.844
487 - Transporte turístico,2538.636,2775.312
488 - Servicios relacionados con el transporte,229396.694,244844.522
491 - Servicios postales,4175.197,4475.384
492 - Servicios de mensajería y paquetería,39832.932,43174.13
493 - Servicios de almacenamiento,38285.339,37895.052
51 - Información en medios masivos,420009.569,444551.87
"511 - Edición de periódicos, revistas, libros, software y otros materiales, y edición de estas publicaciones integrada con la impresión",19333.339,17149.095
"512 - Industria fílmica y del video, e industria del sonido",26705.797,33693.647
515 - Radio y televisión,68306.048,69101.519
517 - Telecomunicaciones,293535.309,311087.767
"518 - Procesamiento electrónico de información, hospedaje y otros servicios relacionados",10666.719,12112.996
519 - Otros servicios de información,1462.356,1406.846
52 - Servicios financieros y de seguros,1163784.5,1405545.585
521 - Banca central,49959.163,59643.852
522 - Instituciones de intermediación crediticia y financiera no bursátil,920058.555,1085356.111
"523 - Actividades bursátiles, cambiarias y de inversión financiera",34469.176,28160.426
"524 - Compañías de seguros, fianzas, y administración de fondos para el retiro",159297.606,232385.196
53 - Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,2564222.18,2721993.02
531 - Servicios inmobiliarios,2488622.643,2637469.42
532 - Servicios de alquiler de bienes muebles,28497.592,31863.625
"533 - Servicios de alquiler de marcas registradas, patentes y franquicias",47101.945,52659.975
"54 - Servicios profesionales, científicos y técnicos",546112.989,601119.278
55 - Corporativos,181190.261,179279.006
"56 - Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",269768.472,269437.222
561 - Servicios de apoyo a los negocios,251038.639,247685.008
562 - Manejo de residuos y servicios de remediación,18729.833,21752.214
61 - Servicios educativos,1023155.107,1097620.108
62 - Servicios de salud y de asistencia social,735564.37,784581.464
621 - Servicios médicos de consulta externa y servicios relacionados,320978.281,343199.301
622 - Hospitales,394019.08,419369.538
623 - Residencias de asistencia social y para el cuidado de la salud,2808.955,2500.273
624 - Otros servicios de asistencia social,17758.054,19512.352
"71 - Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",135556.352,149718.325
"711 - Servicios artísticos, culturales y deportivos, y otros servicios relacionados",65880.01,73065.508
"712 - Museos, sitios históricos, zoológicos y similares",8853.86,9697.0
713 - Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,60822.482,66955.817
72 - Servicios de alojamiento temporal y de preparación de alimentos y bebidas,684095.545,764999.25
721 - Servicios de alojamiento temporal,312921.514,351346.332
722 - Servicios de preparación de alimentos y bebidas,371174.031,413652.918
81 - Otros servicios excepto actividades gubernamentales,552096.808,625937.661
811 - Servicios de reparación y mantenimiento,134830.461,145663.233
812 - Servicios personales,237490.37,277477.3
813 - Asociaciones y organizaciones,53908.42,55512.277
814 - Hogares con empleados domésticos,125867.556,147284.851
"93 - Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",1007802.86,1081549.682
