Sector subsector y rama,Total 2022,Total 2023,IDE 2022 - 2023
431 Comercio al por mayor de abarrotes alimentos  bebidas  hielo y tabaco,75.9,471.2,75.9471.2
4311 Comercio al por mayor de abarrotes y alimentos,28.5,436.2,28.5436.2
4312 Comercio al por mayor de bebidas hielo y tabaco,47.5,35.0,47.535.0
432 Comercio al por mayor de productos textiles y calzado,51.8,227.9,51.8227.9
4321 Comercio al por mayor de productos textiles y calzado,51.8,227.9,51.8227.9
433 Comercio al por mayor de productos farmacéuticos  de perfumería  artículos para el esparcimiento  electrodomésticos menores y aparatos de línea blanca,109.6,25.1,109.625.1
4331 Comercio al por mayor de productos farmacéuticos,61.3,41.8,61.341.8
4332 Comercio al por mayor de artículos de perfumería cosméticos y joyería,44.5,-32.5,44.5-32.5
4333 Comercio al por mayor de grabaciones de audio y video en medios físicos juguetes y artículos deportivos,-9.0,12.9,-9.012.9
4335 Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca,12.8,2.8,12.82.8
434 Comercio al por mayor de materias primas agropecuarias y forestales para la industria y materiales de desecho,151.1,58.5,151.158.5
4341 Comercio al por mayor de materias primas agropecuarias y forestales,18.0,-18.0,18.0-18.0
4342 Comercio al por mayor de materias primas para la industria,134.2,76.5,134.276.5
435 Comercio al por mayor de maquinaria equipo y mobiliario para actividades agropecuarias industriales de servicios y comerciales y de otra maquinaria y equipo de uso general,-108.9,150.2,-108.9150.2
4351 Comercio al por mayor de maquinaria y equipo agropecuario forestal y para la pesca,15.4,5.8,15.45.8
4352 Comercio al por mayor de maquinaria y equipo para la industria,-1.2,27.9,-1.227.9
4353 Comercio al por mayor de maquinaria y equipo para los servicios y para actividades comerciales,10.8,27.1,10.827.1
4354 Comercio al por mayor de mobiliario y equipo de cómputo y de oficina y de otra maquinaria y equipo de uso general,-133.9,89.4,-133.989.4
436 Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles camionetas y camiones,-32.7,-25.0,-32.7-25.0
4361 Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles camionetas y camiones,-32.7,-25.0,-32.7-25.0
437 Intermediación de comercio al por mayor,79.5,8.5,79.58.5
4373 Intermediación de comercio al por mayor,79.5,8.5,79.58.5
46 Comercio al por menor,"1,036.5",439.1,"1,036.5439.1"
462 Comercio al por menor en tiendas de autoservicio y departamentales,530.0,239.4,530.0239.4
4621 Comercio al por menor en tiendas de autoservicio,451.5,240.5,451.5240.5
463 Comercio al por menor de productos textiles  bisutería  accesorios de vestir y calzado,5.3,35.6,5.335.6
4632 Comercio al por menor de ropa bisutería y accesorios de vestir,5.3,35.6,5.335.6
465 Comercio al por menor de artículos de papelería  para el esparcimiento y otros artículos de uso personal,28.5,29.4,28.529.4
4652 Comercio al por menor de artículos para el esparcimiento,4.7,24.9,4.724.9
4659 Comercio al por menor de mascotas y sus accesorios  regalos  artículos religiosos  desechables  artesanías y otros artículos de uso personal,23.8,2.8,23.82.8
466 Comercio al por menor de enseres domésticos computadoras  artículos para la decoración de interiores y artículos usados,11.4,-13.9,11.4-13.9
4661 Comercio al por menor de muebles para el hogar y otros enseres domésticos,7.3,2.1,7.32.1
4662 Comercio al por menor de mobiliario  equipo y accesorios de cómputo teléfonos y otros aparatos de comunicación,4.0,-15.9,4.0-15.9
4681 Comercio al por menor de automóviles y camionetas,77.8,-12.8,77.8-12.8
4682 Comercio al por menor de partes y refacciones para automóviles  camionetas y camiones,16.1,-2.0,16.1-2.0
4684 Comercio al por menor de combustibles aceites y grasas lubricantes,-41.0,14.9,-41.014.9
469 Intermediación de comercio al por menor  y comercio al por menor a través de catálogos impresos  televisión y similares,411.3,146.5,411.3146.5
4691 Intermediación de comercio al por menor  y comercio al por menor a través de catálogos impresos televisión y similares,411.3,146.5,411.3146.5
48-49 Transportes correos y almacenamiento,"3,684.8","2,283.5","3,684.82,283.5"
483 Transporte por agua,-171.0,-14.5,-171.0-14.5
4831 Transporte marítimo,-171.0,-14.5,-171.0-14.5
486 Transporte por ductos,879.0,"1,924.8","879.01,924.8"
4862 Transporte de gas natural por ductos,879.0,"1,924.8","879.01,924.8"
488 Servicios relacionados con el transporte,164.2,328.1,164.2328.1
4881 Servicios relacionados con el transporte aéreo,-5.7,101.9,-5.7101.9
4883 Servicios relacionados con el transporte por agua,147.8,201.7,147.8201.7
4885 Servicios de intermediación para el transporte de carga,22.0,24.5,22.024.5
492 Servicios de mensajería y paquetería,65.4,45.0,65.445.0
4921 Servicios de mensajería y paquetería foránea,65.4,45.0,65.445.0
51 Información en medios masivos,"5,419.1",-250.2,"5,419.1-250.2"
512 Industria fílmica y del video e industria del sonido,12.9,-2.6,12.9-2.6
5121 Industria fílmica y del video,14.9,-2.6,14.9-2.6
513 Edición de periódicos revistas  libros directorios software y otros materiales,-27.2,399.0,-27.2399.0
5131 Edición de periódicos  revistas  libros  directorios y otros materiales,7.8,4.1,7.84.1
5132 Edición de software,-35.0,394.8,-35.0394.8
516 Radio y televisión y provisión de contenido,"5,318.4",192.3,"5,318.4192.3"
5162 Servicios de distribución de audio y video en tiempo real (streaming)  redes sociales  cadenas de radio y televisión y otros proveedores de contenido,"5,318.4",192.3,"5,318.4192.3"
517 Telecomunicaciones,74.3,-947.6,74.3-947.6
5173 Operadores de servicios de telecomunicaciones alámbricas e inalámbricas,23.4,-926.0,23.4-926.0
5174 Operadores de servicios de telecomunicaciones vía satélite,48.5,21.9,48.521.9
5179 Otros servicios de telecomunicaciones,2.5,-43.5,2.5-43.5
518 Provisión de infraestructura de servicios de cómputo  procesamiento de datos  hospedaje de páginas de internet y otros servicios relacionados,19.7,-6.4,19.7-6.4
5182 Provisión de infraestructura de servicios de cómputo procesamiento de datos hospedaje de páginas de internet y otros servicios relacionados,19.7,-6.4,19.7-6.4
519 Bibliotecas archivos  portales de búsqueda en la red y otros servicios de suministro de información,21.0,115.1,21.0115.1
5192 Bibliotecas archivos portales de búsqueda en la red y otros servicios de suministro de información,21.0,115.1,21.0115.1
52 Servicios financieros y de seguros,"5,214.8","7,205.8","5,214.87,205.8"
522 Instituciones de intermediación crediticia y financiera no bursátil,"3,592.7","6,362.2","3,592.76,362.2"
5221 Banca múltiple,"3,407.2","6,029.3","3,407.26,029.3"
5223 Uniones de crédito e instituciones de ahorro,109.9,64.6,109.964.6
5224 Otras instituciones de intermediación crediticia y financiera no bursátil,77.3,209.3,77.3209.3
5225 Servicios relacionados con la intermediación crediticia no bursátil,7.6,65.7,7.665.7
523 Actividades bursátiles cambiarias y de inversión financiera,209.1,347.6,209.1347.6
5231 Casas de bolsa casas de cambio y centros cambiarios,-4.0,283.5,-4.0283.5
5239 Asesoría en inversiones y otros servicios relacionados con la intermediación bursátil,213.1,64.0,213.164.0
524 Compañías de seguros  fianzas  y administración de fondos para el retiro,256.7,244.0,256.7244.0
5241 Compañías de seguros y fianzas,255.5,243.3,255.5243.3
5242 Servicios relacionados con los seguros y las fianzas y administración de fondos para el retiro,1.1,0.7,1.10.7
525 Sociedades de inversión especializadas en fondos para el retiro y fondos de inversión,"1,156.3",252.0,"1,156.3252.0"
5252 Fondos de inversión,"1,156.3",252.0,"1,156.3252.0"
53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,451.8,360.1,451.8360.1
531 Servicios inmobiliarios,164.0,193.9,164.0193.9
5311 Alquiler sin intermediación de bienes raíces,29.7,1.1,29.71.1
5312 Inmobiliarias y corredores de bienes raíces,69.8,83.1,69.883.1
