Sector subsector y rama,Total 2022,Total 2023,IDE 2022-2023,Concepto,PIB 2022-2023,IDE 23 al 24
3311 Industria básica del hierro y del acero,"2,163.90","2,154.90"," 4,318.80 ","3314 - Industrias de metales no ferrosos, excepto aluminio",277896.577, 109.00 
3312 Fabricación de productos de hierro y acero,287.5,79, 366.50 ,3315 - Moldeo por fundición de piezas metálicas,59147.14, 52.90 
3313 Industria básica del aluminio,6.7,8.1, 14.80 ,332 - Fabricación de productos metálicos,455311.115, 221.70 
3314 Industrias de metales no ferrosos  excepto aluminio,79.2,29.8, 109.00 ,3321 - Fabricación de productos metálicos forjados y troquelados,16771.996,-43.60 
3315 Moldeo por fundición de piezas metálicas,41.7,11.2, 52.90 ,3322 - Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,44109.545,
332 Fabricación de productos metálicos,52.8,168.9, 221.70 ,3323 - Fabricación de estructuras metálicas y productos de herrería,94040.744, 15.70 
3321 Fabricación de productos metálicos forjados y troquelados,-75.7,32.1,-43.60 ,"3324 - Fabricación de calderas, tanques y envases metálicos",41932.935,
3323 Fabricación de estructuras metálicas y productos de herrería,4.2,11.5, 15.70 ,3325 - Fabricación de herrajes y cerraduras,24129.838, 51.80 
3325 Fabricación de herrajes y cerraduras,3.1,48.7, 51.80 ,"3326 - Fabricación de alambre, productos de alambre y resortes",37501.352, 17.30 
3326 Fabricación de alambre productos de alambre y resortes,11.7,5.6, 17.30 ,3327 - Maquinado de piezas y fabricación de tornillos,51951.621, 64.30 
3327 Maquinado de piezas y fabricación de tornillos,28.2,17.5, 45.70 ,3328 - Recubrimientos y terminados metálicos,40555.683,
3329 Fabricación de otros productos metálicos,28,36.3, 64.30 ,3329 - Fabricación de otros productos metálicos,104317.401, 64.30 
333 Fabricación de maquinaria y equipo,298.6,49.2, 347.80 ,333 - Fabricación de maquinaria y equipo,561138.627, 347.80 
3331 Fabricación de maquinaria y equipo agropecuario para la construcción y para la industria extractiva,83,-88.8,-5.80 ,"3331 - Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva",113514.96,-5.80 
3332 Fabricación de maquinaria y equipo para las industrias manufactureras excepto la metalmecánica,-193.8,107.1,-86.70 ,"3332 - Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",36472.408,-86.70 
3333 Fabricación de maquinaria y equipo para el comercio y los servicios,18.6,29.3, 47.90 ,3333 - Fabricación de maquinaria y equipo para el comercio y los servicios,16470.412, 47.90 
3334 Fabricación de equipo de aire acondicionado  calefacción  y de refrigeración industrial y comercial,463.3,-138.5, 324.80 ,"3334 - Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",132350.877, 324.80 
3335 Fabricación de maquinaria y equipo para la industria metalmecánica,2.1,21.7, 23.80 ,3335 - Fabricación de maquinaria y equipo para la industria metalmecánica,8342.89, 23.80 
3336 Fabricación de motores de combustión interna turbinas y transmisiones,33.7,57.6, 91.30 ,"3336 - Fabricación de motores de combustión interna, turbinas y transmisiones",140150.092, 91.30 
3339 Fabricación de otra maquinaria y equipo para la industria en general,-108.3,60.9,-47.40 ,3339 - Fabricación de otra maquinaria y equipo para la industria en general,113836.988,-47.40 
334 Fabricación de equipo de computación  comunicación  medición y de otros equipos componentes y accesorios electrónicos,"1,103.70","2,068.20"," 3,171.90 ","334 - Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",1089862.194," 3,171.90 "
3341 Fabricación de computadoras y equipo periférico,50.9,15.4, 66.30 ,3341 - Fabricación de computadoras y equipo periférico,281396.494, 66.30 
3342 Fabricación de equipo de comunicación,155.6,188.7, 344.30 ,3342 - Fabricación de equipo de comunicación,205173.77, 344.30 
3343 Fabricación de equipo de audio y de video,138.9,424.7, 563.60 ,3343 - Fabricación de equipo de audio y de video,207036.443, 563.60 
3344 Fabricación de componentes electrónicos,836.8,841.5," 1,678.30 ",3344 - Fabricación de componentes electrónicos,323987.325," 1,678.30 "
3345 Fabricación de instrumentos de medición control navegación y equipo médico electrónico,-122.9,536.3, 413.40 ,"3345 - Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",64212.365, 413.40 
3346 Fabricación y reproducción de medios magnéticos y ópticos,44.4,61.7, 106.10 ,3346 - Fabricación y reproducción de medios magnéticos y ópticos,8055.797, 106.10 
335 Fabricación de accesorios  aparatos eléctricos y equipo de generación de energía eléctrica,636,842.5," 1,478.50 ","335 - Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",501573.519," 1,478.50 "
3351 Fabricación de accesorios de iluminación,10.5,15.8, 26.30 ,3351 - Fabricación de accesorios de iluminación,36651.584, 26.30 
3352 Fabricación de aparatos eléctricos de uso doméstico,57.4,443.6, 501.00 ,3352 - Fabricación de aparatos eléctricos de uso doméstico,151502.821, 501.00 
3353 Fabricación de equipo de generación y distribución de energía eléctrica,343.9,172, 515.90 ,3353 - Fabricación de equipo de generación y distribución de energía eléctrica,164487.757, 515.90 
3359 Fabricación de otros equipos y accesorios eléctricos,224.3,211.1, 435.40 ,3359 - Fabricación de otros equipos y accesorios eléctricos,148931.357, 435.40 
336 Fabricación de equipo de transporte,"4,312.10","7,230.80"," 11,542.90 ",336 - Fabricación de equipo de transporte,2816171.316," 11,542.90 "
3361 Fabricación de automóviles y camiones,"3,017.50","5,092.00"," 8,109.50 ",3361 - Fabricación de automóviles y camiones,1441860.182," 8,109.50 "
3362 Fabricación de carrocerías y remolques,13.1,1.6, 14.70 ,3362 - Fabricación de carrocerías y remolques,44454.492, 14.70 
3363 Fabricación de partes para vehículos automotores,"1,015.20","1,914.40"," 2,929.60 ",3363 - Fabricación de partes para vehículos automotores,1167850.65," 2,929.60 "
3364 Fabricación de equipo aeroespacial,221,227.5, 448.50 ,3364 - Fabricación de equipo aeroespacial,51136.251, 448.50 
3365 Fabricación de equipo ferroviario,33.9,-15, 18.90 ,3365 - Fabricación de equipo ferroviario,57957.009, 18.90 
337 Fabricación de muebles colchones y persianas,-2.9,60.6, 57.70 ,3366 - Fabricación de embarcaciones,7133.577,
3371 Fabricación de muebles excepto de oficina y estantería,-3.2,59.8, 56.60 ,3369 - Fabricación de otro equipo de transporte,45779.155,
339 Otras industrias manufactureras,101.6,335.5, 437.10 ,"337 - Fabricación de muebles, colchones y persianas",140619.277, 57.70 
3391 Fabricación de equipo no electrónico y material desechable de uso médico  dental y para laboratorio y artículos oftálmicos,86.8,130.3, 217.10 ,"3371 - Fabricación de muebles, excepto de oficina y estantería",87147.771, 56.60 
3399 Otras industrias manufactureras,14.7,205.2, 219.90 ,3372 - Fabricación de muebles de oficina y estantería,28884.223,
43 Comercio al por mayor,326.4,916.4," 1,242.80 ","3379 - Fabricación de colchones, persianas y cortineros",24587.283,
431 Comercio al por mayor de abarrotes alimentos  bebidas  hielo y tabaco,75.9,471.2, 547.10 ,339 - Otras industrias manufactureras,374609.403, 437.10 
4311 Comercio al por mayor de abarrotes y alimentos,28.5,436.2, 464.70 ,"3391 - Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",209577.577, 217.10 
4312 Comercio al por mayor de bebidas hielo y tabaco,47.5,35, 82.50 ,3399 - Otras industrias manufactureras,165031.826, 219.90 
432 Comercio al por mayor de productos textiles y calzado,51.8,227.9, 279.70 ,Actividades terciarias,35533842.33,
4321 Comercio al por mayor de productos textiles y calzado,51.8,227.9, 279.70 ,43 - Comercio al por mayor,5832677.642," 1,242.80 "
433 Comercio al por mayor de productos farmacéuticos  de perfumería  artículos para el esparcimiento  electrodomésticos menores y aparatos de línea blanca,109.6,25.1, 134.70 ,46 - Comercio al por menor,5884615.086," 1,475.60 "
4331 Comercio al por mayor de productos farmacéuticos,61.3,41.8, 103.10 ,"48-49 - Transportes, correos y almacenamiento",4406858.117," 5,968.30 "
4332 Comercio al por mayor de artículos de perfumería cosméticos y joyería,44.5,-32.5, 12.00 ,481 - Transporte aéreo,226454.603,
4333 Comercio al por mayor de grabaciones de audio y video en medios físicos juguetes y artículos deportivos,-9,12.9, 3.90 ,482 - Transporte por ferrocarril,87765.737,
4335 Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca,12.8,2.8, 15.60 ,483 - Transporte por agua,40420.052,-185.50 
434 Comercio al por mayor de materias primas agropecuarias y forestales para la industria y materiales de desecho,151.1,58.5, 209.60 ,484 - Autotransporte de carga,2295317.952,
4341 Comercio al por mayor de materias primas agropecuarias y forestales,18,-18, -   ,"485 - Transporte terrestre de pasajeros, excepto por ferrocarril",1069860.68,
4342 Comercio al por mayor de materias primas para la industria,134.2,76.5, 210.70 ,486 - Transporte por ductos,39645.894," 2,803.80 "
435 Comercio al por mayor de maquinaria equipo y mobiliario para actividades agropecuarias industriales de servicios y comerciales y de otra maquinaria y equipo de uso general,-108.9,150.2, 41.30 ,487 - Transporte turístico,5313.948,
4351 Comercio al por mayor de maquinaria y equipo agropecuario forestal y para la pesca,15.4,5.8, 21.20 ,488 - Servicios relacionados con el transporte,474241.216, 492.30 
4352 Comercio al por mayor de maquinaria y equipo para la industria,-1.2,27.9, 26.70 ,491 - Servicios postales,8650.581,
4353 Comercio al por mayor de maquinaria y equipo para los servicios y para actividades comerciales,10.8,27.1, 37.90 ,492 - Servicios de mensajería y paquetería,83007.062, 110.40 
