Sector subsector y rama,1,2,3,4,2006,1.1,2.1,3.1,4.1,2007,1.2,2.2,3.2,4.2,Unnamed: 15,1.3,2.3,3.3,4.3,Unnamed: 20,1.4,2.4,3.4,4.4,Unnamed: 25,1.5,2.5,3.5,4.5,Unnamed: 30,1.6,2.6,3.6,4.6,Unnamed: 35,1.7,2.7,3.7,4.7,Unnamed: 40,1.8,2.8,3.8,4.8,Unnamed: 45,1.9,2.9,3.9,4.9,Unnamed: 50,1.10,2.10,3.10,4.10,Unnamed: 55,1.11,2.11,3.11,4.11,Unnamed: 60,1.12,2.12,3.12,4.12,Unnamed: 65,1.13,2.13,3.13,4.13,Unnamed: 70,1.14,2.14,3.14,4.14,Unnamed: 75,1.15,2.15,3.15,4.15,Total 2021,1.16,2.16,3.16,4.16,Total 2022,1.17,2.17,3.17,4.17,Total 2023,1.18,2.18,Total 2024,Total general
1152 Servicios relacionados con la cría y explotación de animales,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,C,C,0.0,0.0,C,0.0,0.0,C,0.0,C,C,0.0,C,C,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.4
1153 Servicios relacionados con el aprovechamiento forestal,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,C,C,-4.2,-3.2,C,C,-21.9,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,-0.5,C,C,C,35.6,0.0,C,0.0,0.0,C,C,C,19.9,C,65.9,C,70.9,-26.4,22.2,77.7,-39.5,7.7,34.5,C,1.9,-11.9,70.7,-26.7,C,27.6,-37.9,34.0,-1.0,C,-5.7,C,-10.5,8.2,-39.0,-52.3,-2.3,-19.4,42.2,-66.1,-45.6,35.0,-7.4,20.4,C,37.5,46.9,0.0,0.2,22.9,70.0,125.0,C,120.1,328.6
21 Minería,95.6,53.5,115.7,289.9,554.7,891.6,138.7,983.8,140.7,"2,154.8",541.8,940.7,"1,890.2","1,406.1","4,778.8",404.9,593.8,279.6,82.5,"1,360.8",348.1,119.6,434.8,460.3,"1,362.8",755.5,215.3,-105.6,302.5,"1,167.7","1,097.1",239.1,943.7,770.9,"3,050.9","2,029.8",637.8,707.4,"2,218.9","5,593.9","1,329.6",359.4,994.7,173.8,"2,857.4",-27.7,137.1,511.8,"1,116.1","1,737.3",189.7,580.6,221.0,282.7,"1,274.1","1,077.9",483.2,229.0,116.8,"1,907.0","1,312.7",469.4,87.2,109.9,"1,979.1",629.0,641.6,530.2,275.4,"2,076.2",936.5,371.9,474.5,-57.0,"1,725.9","2,194.8","1,041.6","1,008.3",601.3,"4,846.1","1,519.2",115.3,94.2,52.1,"1,780.7",829.5,"1,776.0",584.0,303.0,"3,492.5","2,395.8",585.3,"2,981.1","46,681.7"
211 Extracción de petróleo y gas,6.5,-3.7,15.3,83.3,101.5,47.6,-1.3,-17.6,39.6,68.3,38.9,18.9,33.5,31.5,122.9,13.9,-131.5,-39.9,-55.1,-212.5,-125.3,-62.9,16.1,-88.8,-261.0,-22.2,-32.1,-349.0,95.2,-308.2,-178.2,-78.2,597.8,283.4,624.9,60.3,189.4,-171.9,-21.5,56.2,40.5,70.5,238.9,47.0,397.0,41.6,-20.8,7.6,981.1,"1,009.6",88.0,112.9,212.2,-11.7,401.4,352.4,222.9,330.3,17.2,922.8,335.9,126.9,70.9,413.5,947.2,125.8,297.9,226.4,153.2,803.3,261.8,144.4,94.6,101.7,602.5,484.6,405.5,661.6,176.6,"1,728.3",452.6,0.7,-51.4,-52.7,349.3,241.7,-102.3,402.6,238.3,780.3,74.5,389.1,463.6,"8,597.4"
2111 Extracción de petróleo y gas,6.5,-3.7,15.3,83.3,101.5,47.6,-1.3,-17.6,39.6,68.3,38.9,18.9,33.5,31.5,122.9,13.9,-131.5,-39.9,-55.1,-212.5,-125.3,-62.9,16.1,-88.8,-261.0,-22.2,-32.1,-349.0,95.2,-308.2,-178.2,-78.2,597.8,283.4,624.9,60.3,189.4,-171.9,-21.5,56.2,40.5,70.5,238.9,47.0,397.0,41.6,-20.8,7.6,981.1,"1,009.6",88.0,112.9,212.2,-11.7,401.4,352.4,222.9,330.3,17.2,922.8,335.9,126.9,70.9,413.5,947.2,125.8,297.9,226.4,153.2,803.3,261.8,144.4,94.6,101.7,602.5,484.6,405.5,661.6,176.6,"1,728.3",452.6,0.7,-51.4,-52.7,349.3,241.7,-102.3,402.6,238.3,780.3,74.5,389.1,463.6,"8,597.4"
"212 Minería de minerales metálicos y no metálicos, excepto petróleo y gas",85.3,54.1,98.9,199.7,438.0,833.7,93.5,994.1,99.9,"2,021.2",497.8,918.3,"1,854.4","1,359.8","4,630.3",288.9,577.4,271.8,153.4,"1,291.5",418.9,185.5,437.4,565.7,"1,607.5",785.4,-79.9,221.2,217.7,"1,144.6","1,259.9",317.5,359.4,476.4,"2,413.2","1,936.6",462.7,890.2,"2,228.3","5,517.9","1,317.4",266.4,764.2,136.9,"2,484.9",-96.0,95.0,105.4,23.5,127.9,69.3,467.6,-33.9,246.4,749.3,722.5,240.2,-183.6,-44.1,735.0,905.1,295.9,-7.7,-451.2,742.1,382.9,219.4,196.0,-88.4,709.8,464.3,34.0,96.7,-250.3,344.6,"1,525.6",590.0,225.8,314.4,"2,655.9",750.1,14.5,101.4,55.9,921.9,273.0,"1,858.5",-180.5,158.3,"2,109.3","2,211.2",-12.6,"2,198.6","32,843.7"
2121 Minería de carbón mineral,C,0.0,0.0,0.0,C,C,0.0,0.0,C,C,0.0,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3
2122 Minería de minerales metálicos,85.3,53.9,98.5,199.3,437.0,833.3,91.8,993.6,98.7,"2,017.4",494.2,917.0,"1,851.9","1,356.4","4,619.5",299.8,583.9,271.0,152.6,"1,307.3",410.6,183.6,433.9,562.8,"1,590.9",783.4,-97.8,200.6,214.4,"1,100.6","1,257.8",284.5,358.0,457.6,"2,358.0","1,936.6",462.7,889.1,"2,226.6","5,515.0","1,317.4",266.4,764.2,137.0,"2,485.0",-96.0,95.0,105.4,23.5,127.9,69.3,467.5,-33.9,246.4,749.3,722.5,240.2,-186.5,-48.6,727.6,905.1,295.9,-7.7,-434.9,758.3,382.9,219.4,147.6,-88.4,661.4,459.0,34.0,93.7,-246.1,340.6,"1,524.3",590.0,224.6,309.1,"2,648.0",748.9,10.4,89.1,20.7,869.1,260.1,"1,858.5",-187.4,158.3,"2,089.5","2,210.3",-12.6,"2,197.7","32,600.1"
2123 Minería de minerales no metálicos,0.0,0.2,0.4,0.4,1.0,0.4,1.7,0.5,1.3,3.8,3.7,1.2,2.5,3.3,10.8,-10.9,-6.5,0.8,0.8,-15.7,8.4,1.9,3.5,2.8,16.6,2.0,17.9,20.7,3.3,44.0,2.1,32.9,1.4,18.8,55.2,0.1,0.0,1.0,1.7,2.8,C,C,C,C,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,0.0,C,C,C,C,C,C,0.0,48.4,C,0.0,C,C,1.9,C,C,C,5.3,7.9,C,C,10.4,C,49.8,12.9,0.0,C,0.0,19.8,C,0.0,C,238.4
213 Servicios relacionados con la minería,3.8,3.1,1.4,6.8,15.1,10.3,46.4,7.4,1.2,65.3,5.0,3.6,2.2,14.8,25.7,102.0,147.9,47.7,-15.9,281.8,54.5,-3.0,-18.7,-16.6,16.3,-7.7,327.3,22.2,-10.4,331.3,15.5,-0.1,-13.6,11.1,12.8,32.9,-14.3,-11.0,12.1,19.8,-28.4,22.5,-8.4,-10.2,-24.5,26.7,62.9,398.8,111.5,599.8,32.4,0.1,42.7,48.0,123.3,3.0,20.1,82.3,143.7,249.1,71.7,46.6,24.0,147.5,289.8,120.4,124.3,107.8,210.7,563.1,210.4,193.5,283.2,91.7,778.7,184.6,46.1,120.9,110.3,461.9,316.5,100.0,44.2,48.9,509.5,314.8,19.8,361.9,C,602.9,110.1,208.8,318.9,"5,240.6"
