Sector subsector y rama,1,2,3,4,2006,1.1,2.1,3.1,4.1,2007,1.2,2.2,3.2,4.2,Unnamed: 15,1.3,2.3,3.3,4.3,Unnamed: 20,1.4,2.4,3.4,4.4,Unnamed: 25,1.5,2.5,3.5,4.5,Unnamed: 30,1.6,2.6,3.6,4.6,Unnamed: 35,1.7,2.7,3.7,4.7,Unnamed: 40,1.8,2.8,3.8,4.8,Unnamed: 45,1.9,2.9,3.9,4.9,Unnamed: 50,1.10,2.10,3.10,4.10,Unnamed: 55,1.11,2.11,3.11,4.11,Unnamed: 60,1.12,2.12,3.12,4.12,Unnamed: 65,1.13,2.13,3.13,4.13,Unnamed: 70,1.14,2.14,3.14,4.14,Unnamed: 75,1.15,2.15,3.15,4.15,Total 2021,1.16,2.16,3.16,4.16,Total 2022,1.17,2.17,3.17,4.17,Total 2023,1.18,2.18,Total 2024,Total general
462 Comercio al por menor en tiendas de autoservicio y departamentales,-496.9,151.4,18.1,101.8,-225.6,485.9,C,C,45.6,658.3,"1,033.5",-140.4,-0.6,51.9,944.4,227.8,520.8,C,6.4,792.2,"1,183.9",960.5,28.4,61.0,"2,233.7",244.6,177.9,-21.9,"1,146.9","1,547.4",-25.0,-129.7,784.9,763.5,"1,393.8",126.8,712.1,-149.6,389.4,"1,078.7",369.4,478.0,-1.1,116.9,963.2,855.2,391.8,129.1,134.4,"1,510.4",532.0,-30.9,4.1,C,597.3,422.3,206.6,225.6,242.4,"1,096.9",829.3,49.1,-17.5,C,898.5,572.1,47.7,-14.7,47.0,652.0,585.9,3.6,65.6,69.4,724.4,559.7,-23.2,41.4,C,628.3,445.8,16.3,24.6,43.3,530.0,C,-2.0,0.0,C,239.4,349.2,47.9,397.1,"16,660.5"
4621 Comercio al por menor en tiendas de autoservicio,-496.9,151.4,18.1,101.8,-225.6,485.9,C,C,45.6,658.3,"1,033.5",-140.4,-0.6,51.9,944.4,227.8,520.8,C,6.4,792.2,"1,183.9",959.5,28.4,61.0,"2,232.7",110.4,177.9,-21.9,"1,146.9","1,413.2",-56.6,-129.7,784.9,763.5,"1,362.2",89.8,712.1,-149.6,389.4,"1,041.7",61.1,478.0,-13.9,116.9,642.1,534.1,391.8,129.1,134.4,"1,189.3",231.2,-30.9,C,C,296.5,186.0,206.6,225.6,242.4,860.6,543.5,45.2,-17.5,C,608.8,569.1,C,C,C,624.3,585.9,C,C,41.6,642.1,559.7,-23.2,C,C,609.0,445.8,C,C,C,451.5,C,C,0.0,C,240.5,341.4,C,374.5,"14,758.3"
4622 Comercio al por menor en tiendas departamentales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C,C,0.0,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,C,37.0,308.3,0.0,C,0.0,321.2,321.1,C,C,0.0,321.1,300.8,0.0,C,0.0,300.8,236.3,C,0.0,0.0,236.3,C,C,0.0,0.0,289.7,C,22.6,C,C,27.8,0.0,C,C,27.8,82.3,0.0,0.0,C,0.0,C,0.0,C,C,C,C,0.0,C,0.0,0.0,C,C,C,C,"1,902.3"
463 Comercio al por menor de productos textiles  bisutería  accesorios de vestir y calzado,C,C,0.5,C,0.6,C,C,0.0,0.0,0.0,0.0,C,0.0,C,0.1,1.3,C,0.3,2.1,3.7,C,0.1,15.9,0.2,16.2,0.3,0.2,0.1,6.2,6.8,1.3,1.0,1.5,10.7,14.5,2.9,2.0,9.9,13.7,28.4,12.6,18.4,20.0,45.8,96.8,-3.0,6.3,6.5,16.2,25.9,18.0,14.3,4.7,5.3,42.3,-82.9,2.5,0.0,6.3,-74.1,4.4,-2.1,0.0,0.0,2.3,0.0,2.4,1.0,C,3.4,C,C,8.4,2.2,19.4,C,C,C,2.2,10.7,-1.1,1.6,3.2,C,5.3,C,C,24.5,0.0,35.6,-24.9,C,-25.2,212.9
4631 Comercio al por menor de productos textiles excepto ropa,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,C,C,0.0,0.0,C,C,0.0,C,0.0,0.0,C,C,C,C,0.0,0.0,C,0.0,0.0,C,6.1,0.0,0.0,C,0.0,C,0.0,C,C,0.0,C,0.0,0.1,0.0,0.0,0.1,C,0.0,0.0,0.0,C,0.0,C,C,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C,0.0,C,C,0.0,C,0.0,0.0,0.0,5.5
4632 Comercio al por menor de ropa bisutería y accesorios de vestir,C,C,C,C,0.5,C,C,0.0,C,0.0,0.0,C,0.0,0.0,0.1,1.3,C,0.3,2.1,3.7,C,0.1,15.9,0.2,16.2,0.3,0.2,0.1,0.1,0.7,1.3,1.0,1.5,10.7,14.5,2.9,2.0,9.9,13.7,28.4,12.6,18.3,20.0,45.8,96.7,-3.0,6.3,6.5,16.2,25.9,18.0,14.3,5.6,5.3,43.2,-82.9,2.5,C,6.2,-74.1,4.4,-2.1,0.0,0.0,2.3,0.0,2.4,1.0,C,3.4,C,C,8.4,2.2,19.4,C,C,C,2.2,10.7,C,1.6,3.2,C,5.3,C,C,C,0.0,35.6,-24.9,C,-25.2,207.4
4633 Comercio al por menor de calzado,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464 Comercio al por menor de artículos para el cuidado de la salud,0.3,C,C,-10.2,-8.6,C,C,C,-0.1,-0.2,0.5,0.1,-0.1,3.1,3.6,1.2,2.2,0.1,C,3.6,C,C,-0.2,C,-1.2,-0.6,0.2,-0.2,C,1.4,-0.7,0.3,0.1,C,-0.1,-1.1,0.4,0.9,0.8,1.0,-0.6,0.4,1.9,1.3,3.0,0.7,C,C,0.0,2.5,C,0.0,0.0,0.3,0.4,C,C,C,1.4,1.4,1.1,0.0,-0.7,C,1.0,1.1,C,4.0,0.4,10.8,C,0.0,C,C,-1.2,C,-1.4,C,C,-9.1,C,C,0.0,0.0,-2.0,0.0,0.0,0.0,C,C,C,C,7.7,16.1
4641 Comercio al por menor de artículos para el cuidado de la salud,0.3,C,C,-10.2,-8.6,C,C,C,-0.1,-0.2,0.5,0.1,-0.1,3.1,3.6,1.2,2.2,0.1,C,3.6,C,C,-0.2,C,-1.2,-0.6,0.2,-0.2,C,1.4,-0.7,0.3,0.1,C,-0.1,-1.1,0.4,0.9,0.8,1.0,-0.6,0.4,1.9,1.3,3.0,0.7,C,C,0.0,2.5,C,0.0,0.0,0.3,0.4,C,C,C,1.4,1.4,1.1,0.0,-0.7,C,1.0,1.1,C,4.0,0.4,10.8,C,0.0,C,C,-1.2,C,-1.4,C,C,-9.1,C,C,0.0,0.0,-2.0,0.0,0.0,0.0,C,C,C,C,7.7,16.1
465 Comercio al por menor de artículos de papelería  para el esparcimiento y otros artículos de uso personal,2.8,1.4,C,0.4,4.6,-0.6,3.4,0.2,-3.7,-0.7,-1.9,0.5,-0.2,5.3,3.7,0.6,9.1,-34.9,-21.7,-47.0,-27.8,-32.1,-29.2,-42.8,-131.8,-31.7,-27.2,-35.0,20.0,-73.9,19.6,-2.2,64.9,77.0,159.3,-2.3,17.4,-674.7,10.7,-648.9,12.4,17.7,10.0,-0.6,39.5,7.8,1.0,-3.4,35.0,40.4,12.3,-9.4,C,-4.9,-0.6,3.4,-6.0,2.7,0.7,0.8,-12.3,1.6,22.6,0.2,12.1,-37.7,5.9,25.5,11.0,4.8,-43.6,0.5,36.3,-12.7,-19.6,10.8,9.4,23.4,-11.5,32.1,17.6,4.2,27.9,-21.1,28.5,9.3,-6.6,29.6,-2.9,29.4,-38.5,5.2,-33.3,-600.6
4651 Comercio al por menor de artículos de perfumería y joyería,C,C,0.0,C,C,C,C,C,C,0.4,C,C,0.0,0.5,0.6,C,C,-31.1,-24.8,-55.8,-29.0,-34.1,-29.3,-44.8,-137.2,-37.1,-45.4,-53.2,3.7,-132.1,-35.3,-2.3,-1.4,8.4,-30.6,-9.1,17.1,-3.9,6.6,10.8,4.9,C,6.2,8.9,24.6,C,-2.7,C,31.7,32.4,8.5,-9.4,C,-7.7,-7.2,3.4,C,-1.8,C,-2.3,C,C,1.7,1.6,6.3,-0.6,C,C,C,-2.1,0.0,C,C,0.0,C,C,C,0.0,0.1,0.1,C,C,0.0,C,0.0,0.0,0.1,C,0.0,1.7,0.0,C,0.0,-286.1
4652 Comercio al por menor de artículos para el esparcimiento,0.0,C,0.0,0.0,0.0,C,C,0.0,C,C,C,0.0,C,1.3,1.4,C,C,0.0,C,C,C,C,C,C,0.0,0.0,0.0,C,C,0.0,C,0.0,C,C,0.0,C,C,C,C,9.2,C,2.2,C,C,-5.5,C,C,C,C,-1.3,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,C,C,C,-0.5,C,C,C,C,4.2,C,C,C,C,C,C,C,C,C,23.5,-11.6,C,C,C,4.7,C,C,C,C,24.9,C,C,-51.9,-15.4
4653 Comercio al por menor de artículos de papelería  libros revistas y periódicos,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,1.5,0.0,C,1.6,C,0.0,C,C,1.5,0.0,C,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,C,C,0.0,-672.2,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,-672.9
4659 Comercio al por menor de mascotas y sus accesorios  regalos  artículos religiosos  desechables  artesanías y otros artículos de uso personal,C,C,C,0.4,0.5,C,C,0.2,-4.1,-0.5,-2.0,0.5,-0.2,3.5,1.8,-2.1,6.7,-3.9,3.0,3.8,C,2.0,0.1,0.5,3.9,5.4,18.3,C,16.3,58.2,54.8,0.1,66.3,68.6,189.8,2.6,0.3,0.4,C,3.3,7.5,10.8,5.1,0.0,23.4,4.6,3.0,-1.5,C,9.4,3.8,0.0,0.0,C,6.6,C,C,C,0.0,3.1,C,C,1.8,0.0,6.2,3.5,C,C,C,2.7,C,C,C,C,8.1,11.7,0.0,C,C,8.5,29.1,C,C,-2.8,23.8,15.2,C,1.9,C,2.8,0.2,18.4,18.6,373.8
466 Comercio al por menor de enseres domésticos computadoras  artículos para la decoración de interiores y artículos usados,-7.3,5.5,1.1,11.6,10.9,-11.9,-2.7,3.9,3.4,-7.2,-4.2,4.0,16.5,22.3,38.5,11.6,-4.7,1.8,-5.7,3.1,31.9,-1.5,27.5,11.8,69.8,-3.6,47.3,9.6,43.2,96.5,-15.8,21.9,37.3,2.2,45.5,36.8,26.3,21.4,5.8,90.3,-21.2,9.1,7.7,26.2,21.9,-39.4,21.3,48.7,4.8,35.3,26.2,9.0,11.3,3.6,50.0,14.7,-0.5,24.3,20.3,58.8,C,9.0,34.1,17.0,58.6,3.6,-2.5,4.5,38.9,44.5,0.0,C,-4.8,-22.1,-23.0,-33.1,1.5,-0.8,19.0,-13.5,1.2,6.3,0.0,3.8,11.4,C,-0.5,-1.5,C,-13.9,5.7,C,5.7,583.1
4661 Comercio al por menor de muebles para el hogar y otros enseres domésticos,C,0.0,0.2,C,1.5,0.1,0.1,C,1.7,1.9,3.6,3.2,12.2,15.6,34.6,14.7,0.4,0.6,-0.5,15.2,31.1,C,20.8,16.3,68.8,-0.6,C,0.4,12.2,42.5,C,19.9,26.7,0.1,56.8,35.1,9.7,-0.7,10.7,54.8,C,C,C,9.5,19.5,19.2,9.9,C,C,60.0,C,C,C,C,35.2,8.3,11.8,C,9.4,49.0,0.0,C,C,19.6,48.6,C,0.0,0.4,C,42.8,0.0,C,C,-28.3,-24.5,C,-2.5,C,C,-17.7,1.0,C,C,C,7.3,0.0,C,C,C,2.1,C,C,C,499.1
4662 Comercio al por menor de mobiliario  equipo y accesorios de cómputo teléfonos y otros aparatos de comunicación,C,C,C,C,C,C,C,C,C,C,C,C,C,C,3.9,-3.0,C,1.2,-5.2,-12.1,0.7,C,6.7,-4.4,0.9,-3.1,16.7,9.3,13.3,36.2,-26.2,1.8,10.6,5.5,-8.3,-5.2,16.6,14.0,-4.9,20.5,-31.2,9.1,7.7,C,3.8,-58.7,11.4,17.8,4.8,-24.7,6.0,-3.0,C,C,13.4,C,C,C,6.9,5.9,C,9.0,5.1,C,10.0,0.0,C,C,0.0,1.6,0.0,C,C,6.2,1.5,-17.1,4.0,0.0,11.1,-2.0,0.2,0.0,C,C,4.0,C,C,C,C,-15.9,3.1,0.0,3.1,42.2
4663 Comercio al por menor de artículos para la decoración de interiores,C,C,0.0,C,-0.1,C,C,C,0.0,0.0,C,0.0,C,C,0.0,C,0.0,0.0,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,C,17.7,17.8,C,C,C,C,-3.1,6.9,C,8.1,0.0,15.1,C,0.0,0.0,-1.5,-1.5,C,0.0,C,C,0.0,C,0.1,C,0.0,1.4,C,0.0,C,C,3.9,C,0.0,C,0.0,C,C,0.0,C,0.0,0.1,0.0,0.0,C,0.0,C,C,C,C,C,6.2,0.0,C,C,C,0.0,0.0,C,0.0,0.0,C,C,0.0,C,41.8
4664 Comercio al por menor de artículos usados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467 Comercio al por menor de artículos de ferretería tlapalería y vidrios,C,5.0,C,C,1.7,C,C,0.0,C,C,C,C,C,-0.2,-0.2,0.0,C,C,-3.0,-3.0,1.4,0.5,12.0,16.2,30.1,5.3,C,C,C,9.0,C,C,-0.3,83.1,79.5,0.1,6.2,-8.5,C,-7.2,C,-2.4,C,4.1,16.5,0.0,C,0.0,C,C,C,C,C,C,8.0,0.0,C,C,5.5,-22.7,4.6,2.4,C,C,-3.8,C,-4.8,C,C,-4.9,0.0,C,C,C,-8.3,1.3,0.0,C,C,2.1,-3.0,0.0,C,0.0,-3.0,0.0,0.0,C,0.0,C,C,C,0.2,93.9
4671 Comercio al por menor de artículos de ferretería tlapalería y vidrios,C,5.0,C,C,1.7,C,C,0.0,C,C,C,C,C,-0.2,-0.2,0.0,C,C,-3.0,-3.0,1.4,0.5,12.0,16.2,30.1,5.3,C,C,C,9.0,C,C,-0.3,83.1,79.5,0.1,6.2,-8.5,C,-7.2,C,-2.4,C,4.1,16.5,0.0,C,0.0,C,C,C,C,C,C,8.0,0.0,C,C,5.5,-22.7,4.6,2.4,C,C,-3.8,C,-4.8,C,C,-4.9,0.0,C,C,C,-8.3,1.3,0.0,C,C,2.1,-3.0,0.0,C,0.0,-3.0,0.0,0.0,C,0.0,C,C,C,0.2,93.9
468 Comercio al por menor de vehículos de motor  refacciones combustibles y lubricantes,10.7,-3.0,-5.3,36.6,39.0,31.4,49.6,-9.3,15.3,87.0,11.4,-10.9,2.0,-5.3,-2.9,-8.8,-12.6,5.5,9.2,-6.7,-9.8,7.1,2.5,2.9,2.7,-6.1,5.7,1.0,12.5,13.1,-22.0,17.7,-13.0,15.2,-2.2,2.8,3.8,-2.2,-1.7,2.8,-1.2,6.7,-1.6,4.4,8.3,6.3,4.4,12.2,-11.4,11.5,-2.1,4.3,2.0,-3.9,0.3,-1.8,5.4,-0.2,2.5,5.9,5.4,-13.0,-4.2,15.7,3.9,18.6,18.9,-1.3,55.4,91.5,4.8,-16.9,30.6,1.1,19.6,63.4,32.8,57.2,46.1,199.5,14.8,10.5,2.0,25.8,53.0,32.6,8.1,-34.1,C,0.0,59.6,66.1,125.7,652.1
4681 Comercio al por menor de automóviles y camionetas,C,C,C,C,C,34.5,C,C,C,66.6,6.8,-13.1,3.4,C,-9.0,C,C,C,2.4,-1.3,3.7,5.6,-0.4,C,9.1,C,1.3,-0.8,C,1.2,-0.9,1.3,-13.6,C,-1.3,C,4.3,-1.2,C,-7.7,-0.7,C,-3.4,-4.3,-8.1,C,C,C,C,10.2,C,C,0.0,8.7,4.4,C,C,-2.8,-1.6,-4.8,-2.6,-14.8,C,7.6,-12.2,C,-5.4,C,C,7.5,C,C,C,0.0,7.9,17.6,-5.6,C,C,26.0,0.0,41.4,C,C,77.8,C,10.1,C,0.0,-12.8,C,C,C,179.9
4682 Comercio al por menor de partes y refacciones para automóviles  camionetas y camiones,C,0.0,0.0,0.0,C,C,C,0.0,0.0,0.2,C,C,0.0,C,1.1,C,0.0,0.0,C,C,C,0.0,C,2.5,3.7,C,1.0,0.0,0.6,1.6,0.0,17.3,C,0.0,17.4,-0.1,4.2,-0.1,C,15.4,0.0,C,0.2,0.1,2.4,C,C,C,0.0,4.1,-1.1,7.7,1.9,0.0,8.5,C,C,2.6,0.0,5.3,3.2,C,C,C,6.7,1.6,6.4,C,0.5,9.8,C,C,0.0,C,-0.8,-3.3,0.0,C,C,-0.4,9.3,C,4.2,C,16.1,C,-2.0,C,0.0,-2.0,2.8,0.0,2.8,97.8
4683 Comercio al por menor de motocicletas y otros vehículos de motor,C,C,C,C,C,C,-4.2,C,C,-2.0,C,C,C,C,C,0.0,C,0.0,C,C,0.0,C,C,C,2.5,C,C,C,C,C,-21.1,C,C,C,-20.2,C,C,-1.1,-1.1,1.0,0.0,C,C,C,7.3,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,C,0.0,C,C,C,0.0,C,0.0,C,C,C,C,0.0,0.0,0.3,0.0,C,0.3,0.0,0.0,C,C,C,0.0,0.0,C,C,C,C,0.0,0.0,0.0,C,C,0.0,C,-2.5
4684 Comercio al por menor de combustibles aceites y grasas lubricantes,C,-4.2,C,21.4,24.4,-4.2,22.8,-6.7,10.4,22.3,4.2,C,C,-4.1,-2.0,C,-1.1,3.7,0.8,-3.3,C,2.0,C,C,-12.6,-3.0,C,0.0,0.0,3.6,0.0,C,C,C,2.0,C,C,C,C,-5.9,C,4.3,C,6.0,6.8,C,C,C,-4.8,-2.8,C,0.0,C,C,-12.6,1.4,0.0,C,4.1,5.5,4.9,C,-2.5,5.2,9.4,5.9,C,C,50.3,74.2,C,C,10.7,C,12.3,49.1,C,56.1,30.4,173.9,C,-33.6,-20.5,C,-41.0,C,0.0,-18.5,C,14.9,71.4,36.3,107.7,376.8
469 Intermediación de comercio al por menor  y comercio al por menor a través de catálogos impresos  televisión y similares,C,C,C,C,C,C,C,C,C,-5.9,C,C,C,C,C,1.0,C,0.0,4.3,5.2,C,C,C,3.9,3.9,C,-0.1,1.0,C,4.2,0.0,0.0,0.4,C,2.1,0.2,0.7,0.0,-1.1,-0.2,C,0.0,C,C,0.0,C,-6.0,C,C,22.3,22.9,2.5,C,C,72.0,C,0.0,42.9,75.8,118.7,C,0.0,C,C,341.2,C,C,154.2,214.1,468.8,7.5,32.4,42.3,158.8,241.0,239.2,12.5,65.4,282.9,600.0,86.7,251.2,55.0,C,411.3,189.4,C,70.6,4.2,146.5,222.5,382.3,604.7,"3,036.7"
4691 Intermediación de comercio al por menor  y comercio al por menor a través de catálogos impresos televisión y similares,C,C,C,C,C,C,C,C,C,-5.9,C,C,C,C,C,1.0,C,0.0,4.3,5.2,C,C,C,3.9,3.9,C,-0.1,1.0,C,4.2,0.0,0.0,0.4,C,2.1,0.2,0.7,0.0,-1.1,-0.2,C,0.0,C,C,0.0,C,-6.0,C,C,22.3,22.9,2.5,C,C,72.0,C,0.0,42.9,75.8,118.7,C,0.0,C,C,341.2,C,C,154.2,214.1,468.8,7.5,32.4,42.3,158.8,241.0,239.2,12.5,65.4,282.9,600.0,86.7,251.2,55.0,C,411.3,189.4,C,70.6,4.2,146.5,222.5,382.3,604.7,"3,036.7"
48-49 Transportes correos y almacenamiento,77.6,76.3,98.5,40.7,293.2,745.6,-492.6,-2.1,323.0,573.8,406.5,879.7,130.2,115.4,"1,531.8",37.7,-9.2,44.8,-220.2,-146.9,137.7,277.7,38.8,228.0,682.3,146.3,44.6,54.9,-151.4,94.4,423.8,147.9,169.4,560.8,"1,301.9",226.6,343.0,354.9,666.5,"1,591.1",318.3,799.6,473.7,434.1,"2,025.7",116.5,77.0,210.8,"2,391.5","2,795.9",347.7,547.3,376.3,402.0,"1,673.3","1,002.6",921.4,412.3,969.0,"3,305.3",508.0,515.7,-60.6,335.6,"1,298.7",431.2,198.4,39.1,458.9,"1,127.6",332.0,124.3,88.0,68.0,612.3,570.0,"1,758.2",581.0,64.7,"2,973.9","3,100.5",535.8,-388.7,437.1,"3,684.8",503.7,608.5,623.7,547.5,"2,283.5","2,466.0",31.0,"2,497.1","30,199.6"
481 Transporte aéreo,C,14.1,17.1,9.5,51.6,26.2,25.1,23.3,20.8,95.4,41.6,49.0,61.9,61.4,213.8,30.0,C,-0.7,2.7,79.1,C,1.1,C,-1.1,2.7,C,C,C,-0.1,-0.8,C,C,C,13.8,86.3,C,C,42.6,C,53.5,0.0,0.0,C,0.0,C,C,C,0.0,0.0,30.6,C,C,0.0,0.0,125.2,C,C,0.0,0.0,706.8,0.0,C,0.0,C,19.7,C,C,0.0,0.0,35.8,31.6,C,C,C,44.7,8.5,C,0.0,0.0,8.5,"2,130.2",C,0.0,0.0,"2,131.3",0.0,0.0,C,0.0,C,C,0.0,C,"3,901.3"
4811 Transporte aéreo regular,C,4.0,C,-0.9,8.1,C,C,3.1,C,14.3,41.5,17.4,C,36.0,125.0,30.1,C,C,C,79.2,C,C,C,C,2.8,C,C,C,C,1.4,C,C,C,13.8,86.3,C,C,42.6,C,53.5,0.0,0.0,C,0.0,C,C,C,0.0,0.0,C,C,C,0.0,0.0,C,C,C,0.0,0.0,706.8,0.0,C,0.0,0.0,C,C,C,0.0,0.0,35.8,31.6,C,0.0,C,44.7,8.5,0.0,0.0,0.0,8.5,"2,130.2",C,0.0,0.0,"2,131.3",0.0,0.0,C,0.0,C,C,0.0,C,"3,685.6"
4812 Transporte aéreo no regular,C,10.1,12.4,C,43.5,20.0,C,C,C,81.2,C,C,C,C,88.8,C,0.0,C,-0.1,-0.2,0.0,C,C,C,C,0.0,0.0,C,C,C,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.8
482 Transporte por ferrocarril,C,0.6,C,C,4.8,C,C,0.0,0.0,C,C,0.0,0.0,C,C,C,C,C,C,-138.7,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,-20.1,222.6,262.5,C,287.9,C,0.0,274.8,0.0,C,0.0,C,C,0.0,C,0.0,0.0,C,0.0,C,0.0,C,C,-32.6,276.6,C,C,394.9,45.0,C,C,C,131.2,C,C,C,C,C,C,52.0,C,C,303.9,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,546.7"
4821 Transporte por ferrocarril,C,0.6,C,C,4.8,C,C,0.0,0.0,C,C,0.0,0.0,C,C,C,C,C,C,-138.7,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,-20.1,222.6,262.5,C,287.9,C,0.0,274.8,0.0,C,0.0,C,C,0.0,C,0.0,0.0,C,0.0,C,0.0,C,C,-32.6,276.6,C,C,394.9,45.0,C,C,C,131.2,C,C,C,C,C,C,52.0,C,C,303.9,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,546.7"
483 Transporte por agua,0.0,0.0,C,C,9.8,C,C,C,9.1,619.7,C,9.3,1.1,14.5,25.0,C,C,C,C,-26.3,C,0.0,0.0,C,C,C,C,C,C,C,C,-7.8,21.2,C,-12.4,0.0,C,C,-8.7,10.1,C,C,5.1,-8.7,-18.6,C,-11.8,C,C,41.9,C,0.0,C,-7.4,-23.2,C,C,4.0,9.0,11.0,-3.6,18.6,-16.9,145.1,143.2,5.7,C,26.8,16.7,50.4,19.1,C,16.5,-2.6,41.0,19.8,57.5,C,C,67.8,C,19.3,6.2,C,-171.0,18.6,2.0,-35.1,0.0,-14.5,C,C,15.3,748.6
4831 Transporte marítimo,0.0,0.0,C,C,9.8,C,C,C,9.1,619.7,C,9.3,1.1,14.5,25.0,C,C,C,C,-26.3,C,0.0,0.0,C,C,C,C,C,C,C,C,-7.8,21.2,C,-12.4,0.0,C,C,-8.7,10.1,C,C,5.1,-8.7,-18.6,C,-11.8,C,C,41.9,C,0.0,C,-7.4,-23.2,C,C,4.0,9.0,11.0,-3.6,18.6,-16.9,145.1,143.2,5.7,C,26.8,16.7,50.4,19.1,C,16.5,-2.6,41.0,19.8,57.5,C,C,67.8,C,19.3,6.2,C,-171.0,18.6,2.0,-35.1,0.0,-14.5,C,C,15.3,748.6
484 Autotransporte de carga,C,C,0.0,0.2,0.6,0.6,0.3,0.1,0.2,1.3,0.3,C,0.6,0.3,1.0,5.5,0.0,C,3.5,9.1,3.0,2.3,2.1,3.2,10.5,4.1,C,C,C,13.7,C,0.0,6.1,C,8.6,C,C,0.4,C,0.3,0.0,C,C,C,C,C,C,C,0.0,C,C,C,1.2,C,1.3,C,10.6,C,C,4.6,C,C,C,C,C,0.0,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,68.2
4841 Autotransporte de carga general,C,C,C,C,C,C,C,C,C,C,0.1,C,C,C,0.1,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.0,0.0,C,C,C,C,C,C,C,C,0.0,C,C,C,C,C,0.0,C,0.0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.0,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,10.8
