,Sector subsector y rama,Total 2022,Total 2023
288,5313 Servicios relacionados con los servicios inmobiliarios,64.5,109.7
289,532 Servicios de alquiler de bienes muebles,284.7,158.3
290,5321 Alquiler de automóviles camiones y otros transportes terrestres,242.9,161.0
292,5323 Centros generales de alquiler,0.0,0.0
293,5324 Alquiler de maquinaria y equipo agropecuario pesquero industrial  comercial y de servicios,41.8,-4.5
294,533 Servicios de alquiler de marcas registradas patentes y franquicias,3.1,7.9
295,5331 Servicios de alquiler de marcas registradas patentes y franquicias,3.1,7.9
296,54 Servicios profesionales científicos y técnicos,36.0,528.4
297,541 Servicios profesionales científicos y técnicos,36.0,528.4
299,5412 Servicios de contabilidad auditoría y servicios relacionados,38.1,65.7
300,5413 Servicios de arquitectura ingeniería y actividades relacionadas,-62.8,43.1
301,5414 Diseño especializado,-0.9,0.0
302,5415 Servicios de diseño de sistemas de cómputo y servicios relacionados,-2.4,370.7
303,5416 Servicios de consultoría administrativa científica y técnica,-49.4,71.2
304,5417 Servicios de investigación científica y desarrollo,-16.3,-92.7
305,5418 Servicios de publicidad y actividades relacionadas,47.3,1.3
306,5419 Otros servicios profesionales científicos y técnicos,82.5,64.2
307,55 Dirección y administración de grupos empresariales o corporativos,20.5,-13.7
308,551 Dirección y administración de grupos empresariales o corporativos,20.5,-13.7
309,5511 Dirección y administración de grupos empresariales o corporativos,20.5,-13.7
310,56 Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación,223.6,-1.9
311,561 Servicios de apoyo a los negocios,223.6,-1.9
312,5611 Servicios de administración de negocios,78.3,19.3
314,5613 Servicios de empleo,11.4,-20.8
315,5614 Servicios de apoyo secretarial fotocopiado cobranza investigación crediticia y similares,-1.3,9.3
316,5615 Agencias de viajes y servicios de reservaciones,10.0,3.4
319,5619 Otros servicios de apoyo a los negocios,123.2,66.6
323,61 Servicios educativos,29.5,16.0
324,611 Servicios educativos,29.5,16.0
326,6112 Escuelas de educación técnica superior,0.0,0.0
329,6115 Escuelas de oficios,0.0,0.0
332,62 Servicios de salud y de asistencia social,-13.1,0.6
333,621 Servicios médicos de consulta externa y servicios relacionados,5.1,0.6
334,6211 Consultorios médicos,0.0,0.5
339,6216 Servicios de enfermería a domicilio,0.0,0.0
343,6223 Hospitales de otras especialidades médicas,0.0,0.0
344,623 Residencias de asistencia social y para el cuidado de la salud,0.0,0.0
345,6231 Residencias con cuidados de enfermeras para enfermos convalecientes  en rehabilitación incurables y terminales,0.0,0.0
346,6232 Residencias para el cuidado de personas con problemas de retardo mental trastorno mental y adicciones,0.0,0.0
347,6233 Asilos y otras residencias para el cuidado de ancianos,0.0,0.0
349,6241 Servicios de orientación y trabajo social,0.0,0.0
350,6242 Servicios comunitarios de alimentación refugio y emergencia,0.0,0.0
352,6244 Guarderías,0.0,0.0
353,71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,51.8,19.0
355,7111 Compañías y grupos de espectáculos artísticos y culturales,1.6,0.0
356,7112 Deportistas y equipos deportivos profesionales,0.0,0.0
359,7115 Artistas  escritores y técnicos independientes,0.0,0.0
360,712 Museos  sitios históricos zoológicos y similares,0.0,0.0
361,7121 Museos  sitios históricos zoológicos y similares,0.0,0.0
362,713 Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,50.2,19.0
363,7131 Parques con instalaciones recreativas y casas de juegos electrónicos,15.3,9.1
364,7132 Casinos  loterías y otros juegos de azar,0.0,0.0
365,7139 Otros servicios recreativos,34.8,9.9
366,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,"2,323.5","2,646.5"
367,721 Servicios de alojamiento temporal,"2,323.5","2,642.0"
368,7211 Hoteles moteles y similares,875.7,657.1
369,7212 Campamentos y albergues recreativos,0.0,0.0
370,7213 Pensiones y casas de huéspedes y departamentos y casas amueblados con servicios de hotelería,"1,447.8","1,984.9"
371,722 Servicios de preparación de alimentos y bebidas,0.0,4.4
373,7224 Centros nocturnos  bares cantinas y similares,0.0,0.0
374,7225 Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,0.0,1.0
375,81 Otros servicios excepto actividades gubernamentales,-5.4,25.5
376,811 Servicios de reparación y mantenimiento,-10.6,22.7
378,8112 Reparación y mantenimiento de equipo electrónico y de equipo de precisión,-1.9,2.5
379,8113 Reparación y mantenimiento de maquinaria y equipo agropecuario industrial  comercial y de servicios,-19.2,-1.0
381,812 Servicios personales,5.2,2.9
384,8123 Servicios funerarios y administración de cementerios,0.0,0.0
385,8124 Estacionamientos y pensiones para vehículos automotores,0.0,0.0
386,8129 Servicios de revelado e impresión de fotografías y otros servicios personales,5.0,2.8
387,813 Asociaciones y organizaciones,0.0,0.0
388,8131 Asociaciones y organizaciones comerciales laborales profesionales y recreativas,0.0,0.0
389,8132 Asociaciones y organizaciones religiosas políticas y civiles,0.0,0.0
390,814 Hogares con empleados domésticos,0.0,0.0
391,8141 Hogares con empleados domésticos,0.0,0.0
392,Total,"36,298.9","36,282.1"
