Sector subsector y rama,1.16,2.16,3.16,4.16,Total 2022,1.17,2.17,3.17,4.17,Total 2023,1.18,2.18,Total 2024,Total general
3112 Molienda de granos y de semillas y obtención de aceites y grasas,107.2,-9.6,-39.2,4.8,63.2,C,C,C,C,160.3,221.6,-120.5,101.2,"1,102.0"
3113 Elaboración de azúcares chocolates  dulces y similares,27.8,1.2,1.7,820.8,851.4,166.2,-2.7,-6.4,-34.0,123.1,117.1,-2.3,114.7,"5,742.8"
3114 Conservación de frutas  verduras  guisos y otros alimentos preparados,29.9,1.8,7.2,-3.9,35.1,36.1,-10.8,-29.8,-26.9,-31.4,59.8,-28.0,31.9,759.4
3115 Elaboración de productos lácteos,0.0,0.0,0.0,C,C,C,0.0,0.0,0.0,C,561.4,0.0,561.4,"3,085.9"
3116 Matanza empacado y procesamiento de carne de ganado aves y otros animales comestibles,0.0,C,C,0.0,C,0.0,C,C,0.0,C,C,C,C,378.2
3117 Preparación y envasado de pescados y mariscos,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,C,0.0,0.0,0.0,-17.8
3118 Elaboración de productos de panadería y tortillas,C,0.0,0.0,0.0,C,0.0,0.0,C,0.0,C,C,0.0,C,14.0
3119 Otras industrias alimentarias,52.2,-9.2,-12.5,-16.3,14.2,C,10.2,C,C,36.8,0.7,-16.8,-16.2,762.9
312 Industria de las bebidas y del tabaco,897.5,64.8,119.2,-415.9,665.6,"2,458.9",169.7,264.5,-287.8,"2,605.4","2,883.9","1,256.7","4,140.6","51,012.3"
3121 Industria de las bebidas,560.1,108.9,240.4,-241.8,667.6,"1,981.3",192.6,424.9,-158.8,"2,440.0","2,078.6","1,605.4","3,684.1","49,906.9"
3122 Industria del tabaco,C,C,C,C,C,C,C,C,C,165.4,C,-348.7,456.5,"1,105.3"
313 Fabricación de insumos textiles y acabado de textiles,19.7,0.3,0.2,4.3,24.6,8.5,6.5,3.0,-7.8,10.2,0.3,0.1,0.4,360.9
3131 Preparación e hilado de fibras textiles y fabricación de hilos,0.0,C,0.0,0.0,C,0.0,0.0,C,0.0,C,C,C,C,97.6
3132 Fabricación de telas,19.5,0.0,0.2,4.2,23.9,8.4,6.2,-1.4,-7.9,5.4,2.4,2.5,4.9,200.1
3133 Acabado de productos textiles y fabricación de telas recubiertas,0.2,C,C,C,0.7,C,C,C,C,C,C,C,C,63.1
314 Fabricación de productos textiles excepto prendas de vestir,7.2,13.2,7.8,2.9,31.0,16.0,16.1,-26.0,11.2,17.3,20.2,17.1,37.3,386.9
