Sector subsector y rama,1.16,2.16,3.16,4.16,Total 2022,1.17,2.17,3.17,4.17,Total 2023,1.18,2.18,Total 2024,Total general
6243 Servicios de capacitación para el trabajo para personas desempleadas subempleadas o con discapacidad,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
6244 Guarderías,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos,4.6,6.7,7.9,32.6,51.8,19.2,C,14.1,-14.4,19.0,26.9,-4.0,22.9,"1,338.7"
711 Servicios artísticos culturales y deportivos y otros servicios relacionados,0.0,0.0,C,C,1.7,0.0,0.0,C,0.0,C,C,0.0,C,111.0
7111 Compañías y grupos de espectáculos artísticos y culturales,C,0.0,C,C,1.6,0.0,0.0,0.0,0.0,0.0,C,0.0,C,59.5
7112 Deportistas y equipos deportivos profesionales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5
7113 Promotores de espectáculos artísticos  culturales  deportivos y similares,C,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3
7114 Agentes y representantes de artistas deportistas y similares,C,0.0,0.0,0.0,C,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.3
7115 Artistas  escritores y técnicos independientes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712 Museos  sitios históricos zoológicos y similares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7121 Museos  sitios históricos zoológicos y similares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713 Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,4.6,6.7,6.2,32.6,50.2,19.2,C,14.1,-14.4,19.0,26.8,-4.0,22.7,"1,227.6"
7131 Parques con instalaciones recreativas y casas de juegos electrónicos,C,6.7,6.0,C,15.3,C,0.0,C,-14.4,9.1,11.9,C,7.9,830.6
7132 Casinos  loterías y otros juegos de azar,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.5
7139 Otros servicios recreativos,3.0,0.0,C,31.6,34.8,11.9,C,-2.0,C,9.9,14.8,C,14.8,196.5
72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,440.5,"1,083.8",472.6,326.6,"2,323.5",663.2,"1,015.2",486.2,481.8,"2,646.5",414.4,817.6,"1,232.0","24,144.4"
721 Servicios de alojamiento temporal,440.5,"1,083.8",472.6,326.6,"2,323.5",659.5,"1,015.2",485.5,481.8,"2,642.0",413.6,817.6,"1,231.2","23,673.7"
7211 Hoteles moteles y similares,113.3,734.8,75.6,-48.1,875.7,284.3,377.6,0.4,-5.1,657.1,124.0,752.7,876.7,"8,291.3"
7212 Campamentos y albergues recreativos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7
7213 Pensiones y casas de huéspedes y departamentos y casas amueblados con servicios de hotelería,327.2,349.0,396.9,374.7,"1,447.8",375.2,637.6,485.2,487.0,"1,984.9",289.6,65.0,354.6,"15,380.8"
722 Servicios de preparación de alimentos y bebidas,C,0.0,0.0,0.0,0.0,3.7,C,0.7,0.0,4.4,0.8,0.0,0.8,470.7
7223 Servicios de preparación de alimentos por encargo,0.0,C,C,0.0,0.0,C,0.0,0.0,C,C,0.0,0.0,0.0,-6.3
7224 Centros nocturnos  bares cantinas y similares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
7225 Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicas,C,0.0,0.0,0.0,0.0,0.3,C,0.7,0.0,1.0,0.8,0.0,0.8,476.5
81 Otros servicios excepto actividades gubernamentales,-1.3,16.5,-20.7,0.1,-5.4,11.0,0.2,12.7,1.6,25.5,9.3,14.0,23.3,504.6
811 Servicios de reparación y mantenimiento,-1.8,11.1,-19.9,C,-10.6,11.0,C,10.0,1.5,22.7,6.1,3.6,9.7,407.4
8111 Reparación y mantenimiento de automóviles y camiones,0.0,C,C,0.0,C,C,0.0,C,1.4,20.8,C,C,4.8,64.7
8112 Reparación y mantenimiento de equipo electrónico y de equipo de precisión,-1.9,0.0,0.0,0.0,-1.9,C,0.0,C,0.0,2.5,C,C,C,0.7
8113 Reparación y mantenimiento de maquinaria y equipo agropecuario industrial  comercial y de servicios,0.0,C,C,C,-19.2,C,C,C,C,-1.0,4.9,C,4.9,327.3
8114 Reparación y mantenimiento de artículos para el hogar y personales,C,C,C,C,C,C,C,C,C,C,C,C,C,14.7
812 Servicios personales,0.5,5.5,-0.8,C,5.2,C,C,2.8,0.0,2.9,3.2,10.4,13.6,93.6
8121 Salones y clínicas de belleza baños públicos y bolerías,0.0,0.0,0.2,0.0,0.2,0.0,C,0.0,C,C,0.0,0.0,0.0,1.2
8122 Lavanderías y tintorerías,0.0,C,0.0,C,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,2.5
8123 Servicios funerarios y administración de cementerios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4
8124 Estacionamientos y pensiones para vehículos automotores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8129 Servicios de revelado e impresión de fotografías y otros servicios personales,0.5,C,-1.0,0.0,5.0,C,0.0,2.8,0.0,2.8,3.2,10.4,13.6,48.5
813 Asociaciones y organizaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
8131 Asociaciones y organizaciones comerciales laborales profesionales y recreativas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8132 Asociaciones y organizaciones religiosas políticas y civiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
814 Hogares con empleados domésticos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
8141 Hogares con empleados domésticos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Total,"22,778.9","8,191.2","3,519.8","1,809.0","36,298.9","23,502.2","8,619.6","3,090.9","1,069.4","36,282.1","26,015.4","5,080.9","31,096.3","589,525.0"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
